from,to,length,path
N031,N026,682.7597481,"['N031', 'N026']"
N031,N036,499.34396749999996,"['N031', 'N036']"
N031,N034,349.898521,"['N031', 'N034']"
N031,N047,1033.653578,"['N031', 'N036', 'N047']"
N031,N051,870.9443876,"['N031', 'N034', 'N051']"
N031,N038,762.1403635300001,"['N031', 'N034', 'N040', 'N038']"
N031,N040,547.7329764,"['N031', 'N034', 'N040']"
N031,N056,919.1724567599999,"['N031', 'N034', 'N040', 'N056']"
N031,N054,1278.54471523,"['N031', 'N034', 'N040', 'N038', 'N054']"
N031,N050,1677.23908263,"['N031', 'N034', 'N040', 'N038', 'N050']"
N031,N068,1100.2741746,"['N031', 'N036', 'N068']"
N031,N063,978.5744111099999,"['N031', 'N034', 'N040', 'N063']"
N031,N070,1317.96192365,"['N031', 'N034', 'N040', 'N056', 'N070']"
N031,N082,2246.94621673,"['N031', 'N034', 'N040', 'N038', 'N054', 'N082']"
N031,N124,2602.3663225699997,"['N031', 'N036', 'N068', 'N124']"
N031,N104,1701.7561660000001,"['N031', 'N034', 'N051', 'N104']"
N031,N098,1562.65872976,"['N031', 'N034', 'N040', 'N063', 'N098']"
N031,N084,2007.1568440199999,"['N031', 'N034', 'N040', 'N056', 'N070', 'N084']"
N031,N142,2740.91189555,"['N031', 'N034', 'N040', 'N063', 'N142']"
N031,N159,2964.48210241,"['N031', 'N034', 'N040', 'N063', 'N159']"
N031,N161,3325.31606094,"['N031', 'N034', 'N051', 'N104', 'N161']"
N031,N176,3579.90647071,"['N031', 'N034', 'N040', 'N063', 'N159', 'N176']"
N031,N177,3735.8026840499997,"['N031', 'N034', 'N040', 'N063', 'N142', 'N177']"
N026,N021,592.9372942,"['N026', 'N021']"
N026,N024,1169.6037319000002,"['N026', 'N021', 'N024']"
N026,N029,1709.8390773,"['N026', 'N031', 'N036', 'N029']"
N026,N031,682.7597481,"['N026', 'N031']"
N026,N026,0.0,
N026,N036,1182.1037156,"['N026', 'N031', 'N036']"
N026,N034,1032.6582691,"['N026', 'N031', 'N034']"
N026,N047,1716.4133261,"['N026', 'N031', 'N036', 'N047']"
N026,N051,1553.7041357,"['N026', 'N031', 'N034', 'N051']"
N026,N038,1403.0460045,"['N026', 'N038']"
N026,N040,1230.4927245000001,"['N026', 'N031', 'N034', 'N040']"
N026,N056,1601.93220486,"['N026', 'N031', 'N034', 'N040', 'N056']"
N026,N054,1434.5103852000002,"['N026', 'N054']"
N026,N050,1175.0106302,"['N026', 'N050']"
N026,N068,1783.0339227,"['N026', 'N031', 'N036', 'N068']"
N026,N063,1661.3341592100003,"['N026', 'N031', 'N034', 'N040', 'N063']"
N026,N070,1998.9472978,"['N026', 'N038', 'N070']"
N026,N082,2402.9118867,"['N026', 'N054', 'N082']"
