condition,nodes,edges,length,objVal,calcTime
N054_N159_10000_F,"['N161', 'N177', 'N082', 'N084', 'N142', 'N176', 'N050', 'N124', 'N054', 'N104', 'N159', 'N098']","[3, 6, 11, 16, 20, 24, 29, 34, 39, 60, 61, 64]",9185.23592081,36.536604149999995,0.46271586418151855
N054_N159_12500_F,"['N034', 'N161', 'N051', 'N177', 'N082', 'N040', 'N084', 'N024', 'N036', 'N176', 'N050', 'N124', 'N038', 'N031', 'N054', 'N104', 'N159', 'N029']","[7, 16, 23, 24, 29, 34, 46, 61, 63, 66, 77, 92, 96, 100, 105, 121, 124, 133]",12372.640656569998,51.775434980000014,0.5081980228424072
N054_N159_15000_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N040', 'N082', 'N142', 'N031', 'N068', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038']","[3, 7, 16, 20, 24, 29, 30, 34, 46, 55, 61, 63, 66, 77, 80, 92, 94, 100, 106, 121, 124, 133]",14887.559866069998,71.26233385,0.19107484817504883
N159_N036_spath,"['N159', 'N104', 'N051', 'N036']","[37, 97, 93]",2773.2174663699993,0.07567675,0
N159_N036_5000_F,"['N034', 'N051', 'N040', 'N036', 'N038', 'N031', 'N068', 'N104', 'N159']","[31, 37, 72, 77, 95, 114, 123, 125]",4902.8111363299995,4.10773674,0.35059499740600586
N159_N036_7500_F,"['N034', 'N161', 'N051', 'N036', 'N084', 'N124', 'N038', 'N054', 'N104', 'N159', 'N098']","[10, 14, 28, 35, 38, 67, 90, 93, 123, 133]",7315.357228920001,15.188539709999999,0.7907018661499023
N159_N036_10000_F,"['N161', 'N051', 'N177', 'N082', 'N040', 'N084', 'N036', 'N176', 'N050', 'N124', 'N038', 'N054', 'N104', 'N159', 'N098']","[7, 10, 17, 22, 25, 28, 35, 38, 61, 63, 93, 115, 124, 133]",9982.963238790002,36.39988758,0.5444769859313965
N159_N036_12500_F,"['N161', 'N177', 'N082', 'N021', 'N084', 'N142', 'N024', 'N176', 'N050', 'N036', 'N124', 'N026', 'N054', 'N104', 'N159', 'N029', 'N098']","[2, 7, 10, 17, 21, 25, 28, 35, 38, 46, 55, 57, 60, 65, 100, 106]",12296.475340710002,52.58303629,0.4347190856933594
N159_N036_15000_F,"['N051', 'N024', 'N036', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N040', 'N142', 'N031', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[2, 7, 10, 14, 19, 21, 25, 28, 35, 38, 46, 55, 61, 63, 77, 80, 91, 100, 106, 115, 124, 133]",14927.845163589998,70.02895314000001,0.2500030994415283
N159_N021_spath,"['N159', 'N104', 'N051', 'N034', 'N031', 'N021']","[37, 97, 91, 77, 79]",4415.530295969999,0.57809298,0
N159_N021_5000_F,"['N034', 'N051', 'N024', 'N021', 'N031', 'N068', 'N104', 'N159']","[31, 37, 77, 91, 95, 105, 107]",4945.6166135700005,2.7373331800000003,0.10039806365966797
N159_N021_7500_F,"['N177', 'N082', 'N021', 'N084', 'N142', 'N176', 'N050', 'N026', 'N054', 'N159']","[3, 7, 9, 18, 24, 55, 57, 60, 65]",7419.1794678999995,13.0224404,0.487962007522583
N159_N021_10000_F,"['N161', 'N177', 'N082', 'N021', 'N084', 'N176', 'N050', 'N124', 'N026', 'N054', 'N104', 'N159', 'N098']","[7, 10, 17, 22, 25, 28, 35, 38, 55, 57, 60, 65]",9819.627527910001,35.32514349,0.2816028594970703
N159_N021_12500_F,"['N034', 'N161', 'N177', 'N082', 'N036', 'N084', 'N142', 'N024', 'N176', 'N050', 'N021', 'N124', 'N038', 'N054', 'N104', 'N159', 'N029', 'N098']","[2, 7, 10, 17, 21, 25, 28, 35, 38, 47, 61, 63, 75, 101, 107, 123, 133]",12481.178332989999,51.05721123000001,0.28517699241638184
N159_N021_15000_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N142', 'N031', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[2, 7, 10, 14, 19, 21, 25, 28, 35, 38, 47, 55, 61, 63, 80, 90, 93, 101, 104, 123, 133]",14674.950501889998,65.83694753000002,0.38440704345703125
N159_N031_spath,"['N159', 'N104', 'N051', 'N034', 'N031']","[37, 97, 91, 77]",3239.4123824699996,0.57809298,0
N159_N031_5000_F,"['N034', 'N161', 'N051', 'N040', 'N038', 'N031', 'N104', 'N159']","[14, 33, 77, 97, 114, 123, 125]",4985.993070799999,3.53138376,0.35276293754577637
N159_N031_7500_F,"['N034', 'N161', 'N040', 'N084', 'N176', 'N124', 'N038', 'N031', 'N054', 'N104', 'N159', 'N098']","[10, 17, 18, 28, 35, 38, 67, 77, 121, 124, 133]",7244.166994819999,17.87795075,0.3697969913482666
N159_N031_10000_F,"['N034', 'N161', 'N177', 'N082', 'N040', 'N084', 'N176', 'N050', 'N124', 'N038', 'N031', 'N054', 'N104', 'N159', 'N098']","[7, 10, 17, 22, 25, 28, 35, 38, 61, 63, 77, 121, 124, 133]",9597.581637989999,36.472634209999995,0.3438529968261719
N159_N031_12500_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N082', 'N040', 'N142', 'N031', 'N159', 'N029', 'N177', 'N124', 'N038', 'N098']","[2, 7, 10, 17, 21, 25, 28, 35, 38, 47, 61, 63, 93, 101, 104, 115, 124, 133]",12482.59608969,50.85785128,0.5618500709533691
N159_N031_15000_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N040', 'N142', 'N031', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038', 'N098']","[3, 7, 10, 14, 18, 20, 24, 28, 35, 38, 47, 54, 61, 63, 81, 90, 93, 101, 107, 121, 124, 133]",14652.16546379,68.89330741000002,0.22584795951843262
N159_N054_spath,"['N159', 'N142', 'N084', 'N054']","[21, 9, 67]",3061.85158488,0.06276449,0
N159_N054_5000_F,"['N161', 'N084', 'N176', 'N054', 'N104', 'N159', 'N098']","[10, 17, 18, 33, 38, 67]",4953.75673852,4.3684727400000005,0.28987908363342285
N159_N054_7500_F,"['N161', 'N177', 'N082', 'N084', 'N142', 'N176', 'N050', 'N054', 'N159']","[3, 7, 9, 14, 16, 24, 61, 63]",7245.863791349998,22.02342479,0.3071019649505615
N159_N054_10000_F,"['N161', 'N177', 'N082', 'N084', 'N142', 'N176', 'N050', 'N124', 'N054', 'N104', 'N159', 'N098']","[2, 7, 10, 14, 19, 21, 25, 28, 35, 38, 61, 63]",9777.099964059998,36.144249200000004,0.36072301864624023
N159_N054_12500_F,"['N034', 'N161', 'N177', 'N082', 'N021', 'N084', 'N024', 'N040', 'N176', 'N050', 'N054', 'N124', 'N038', 'N031', 'N026', 'N104', 'N159', 'N098']","[7, 10, 17, 22, 25, 28, 35, 38, 55, 57, 63, 76, 104, 106, 120, 125, 132]",12140.012046289998,48.81143462000001,0.9167070388793945
N159_N054_15000_F,"['N051', 'N036', 'N024', 'N176', 'N104', 'N161', 'N084', 'N050', 'N054', 'N034', 'N082', 'N142', 'N031', 'N068', 'N026', 'N159', 'N029', 'N177', 'N021', 'N124', 'N038']","[2, 6, 17, 21, 25, 28, 31, 35, 47, 54, 62, 67, 76, 81, 93, 95, 101, 107, 122, 130]",14884.618803869998,67.83978451,1.1484439373016357
