link_id,source,target,weight
429,N143,N152,177.5175292
430,N143,N153,183.8016344
432,N144,N145,114.0678095
435,N144,N150,295.0441548
437,N145,N151,450.748553
438,N145,N159,238.3096819
440,N146,N154,294.101906
441,N146,N167,484.2288475
442,N146,N147,203.2076219
443,N147,N167,440.3553678
444,N147,N149,254.2773929
447,N148,N166,462.0836732
452,N149,N163,409.3350386
453,N149,N150,181.1549608
455,N150,N163,455.6340547
459,N151,N158,169.1564746
460,N151,N153,171.9900465
461,N152,N156,68.64042655
462,N152,N155,54.06045364
466,N153,N158,97.75522539
467,N153,N155,166.2701277
470,N154,N169,524.9214039
471,N154,N168,933.0688307
475,N155,N156,63.20718771
476,N155,N161,185.0953431
478,N156,N171,702.7507595
480,N157,N165,720.5077602
481,N157,N175,885.1432797
484,N158,N170,437.7221669
485,N158,N161,168.4938316
488,N159,N164,248.4976664
489,N159,N162,250.7939843
490,N160,N162,48.7991683
491,N161,N156,213.3530134
492,N161,N174,663.6425211
493,N161,N172,505.9875961
497,N162,N164,290.8564648
498,N162,N170,222.300824
501,N163,N173,319.5183788
505,N164,N176,366.9267019
507,N165,N179,1287.053253
508,N165,N168,217.784696
512,N167,N169,34.36618017
516,N168,N181,1084.738989
518,N169,N173,364.0221275
521,N170,N172,178.9872778
525,N172,N176,410.0031597
526,N172,N180,696.4555028
529,N173,N178,129.2241031
530,N173,N164,597.4206716
531,N173,N177,146.7750576
535,N176,N183,670.9099709
536,N176,N177,493.9674829
542,N178,N177,110.0428106
543,N178,N182,642.7728014
549,N085,N096,528.367268
550,N096,N093,291.624907
553,N046,N120,1256.471301
