source,target,weight,path
N070,N142,1434.03895122,"['N070', 'N142']"
N082,N054,968.4015014999999,"['N082', 'N054']"
N082,N050,1235.7588207499998,"['N082', 'N050']"
N082,N063,1366.5118525899998,"['N082', 'N063']"
N082,N070,1043.3562788099998,"['N082', 'N070']"
N082,N084,630.0676450999999,"['N082', 'N084']"
N082,N142,1915.3868254800002,"['N082', 'N142']"
N082,N177,2740.65256825,"['N082', 'N177']"
N124,N029,2582.2220656200006,"['N124', 'N029']"
N124,N047,1767.8295314299999,"['N124', 'N047']"
N124,N068,1502.0921479699998,"['N124', 'N068']"
N124,N063,2212.32326065,"['N124', 'N063']"
N124,N070,2271.69715142,"['N124', 'N070']"
N124,N104,1392.0960900700002,"['N124', 'N104']"
N124,N142,2138.3633809000003,"['N124', 'N142']"
N124,N159,1885.2592499,"['N124', 'N159']"
N124,N161,1243.3293459400002,"['N124', 'N161']"
N124,N176,2148.6787982900005,"['N124', 'N176']"
N104,N051,830.8117784,"['N104', 'N051']"
N104,N040,1266.6345834400001,"['N104', 'N040']"
N104,N068,842.8190683,"['N104', 'N068']"
N104,N063,853.7620561800002,"['N104', 'N063']"
N104,N124,1392.0960900700002,"['N104', 'N124']"
N104,N098,409.33375049999995,"['N104', 'N098']"
N104,N142,1535.22768453,"['N104', 'N142']"
N104,N159,1537.65621647,"['N104', 'N159']"
N104,N161,1623.55989494,"['N104', 'N161']"
N104,N177,2518.1379229699996,"['N104', 'N177']"
N098,N051,1007.0866735699999,"['N098', 'N051']"
N098,N056,803.21883985,"['N098', 'N056']"
N098,N068,1180.32489533,"['N098', 'N068']"
N098,N063,584.08431865,"['N098', 'N063']"
N098,N070,491.35883012,"['N098', 'N070']"
N098,N104,409.33375049999995,"['N098', 'N104']"
N098,N084,604.1642064999999,"['N098', 'N084']"
N098,N142,1257.8261169000002,"['N098', 'N142']"
N098,N159,1507.5605239,"['N098', 'N159']"
N098,N161,1893.3484884700001,"['N098', 'N161']"
N084,N054,785.28376248,"['N084', 'N054']"
N084,N068,1726.8194954300002,"['N084', 'N068']"
N084,N070,689.19492037,"['N084', 'N070']"
N084,N082,630.0676450999999,"['N084', 'N082']"
N084,N098,604.1642065,"['N084', 'N098']"
N084,N142,1546.8443276,"['N084', 'N142']"
N142,N068,2341.11381637,"['N142', 'N068']"
N142,N063,1762.33748444,"['N142', 'N063']"
N142,N070,1434.03895122,"['N142', 'N070']"
N142,N082,1915.38682548,"['N142', 'N082']"
N142,N124,2138.3633809,"['N142', 'N124']"
N142,N104,1535.22768453,"['N142', 'N104']"
N142,N098,1257.8261169000002,"['N142', 'N098']"
N142,N084,1546.8443276,"['N142', 'N084']"
N142,N159,729.7234948,"['N142', 'N159']"
N142,N161,1279.8126720999999,"['N142', 'N161']"
N142,N177,994.8907885,"['N142', 'N177']"
N159,N051,2363.38553327,"['N159', 'N051']"
N159,N068,2200.25775237,"['N159', 'N068']"
N159,N063,1985.9076913000004,"['N159', 'N063']"
N159,N124,1885.2592499,"['N159', 'N124']"
N159,N104,1537.65621647,"['N159', 'N104']"
N159,N098,1507.5605239000004,"['N159', 'N098']"
