from,to,length,path
17,88,5988,"[17, 33, 52, 54, 73, 72, 89, 88]"
17,89,5157,"[17, 33, 52, 54, 73, 72, 89]"
17,90,4642,"[17, 33, 52, 54, 74, 90]"
17,91,5788,"[17, 33, 52, 54, 73, 72, 89, 91]"
17,92,5392,"[17, 33, 52, 54, 74, 90, 92]"
17,93,4536,"[17, 33, 52, 54, 74, 93]"
17,94,4480,"[17, 33, 52, 54, 74, 76, 94]"
17,95,7353,"[17, 33, 52, 54, 74, 76, 94, 96, 95]"
17,96,4977,"[17, 33, 52, 54, 74, 76, 94, 96]"
17,97,4680,"[17, 33, 52, 54, 74, 79, 97]"
17,104,8096,"[17, 33, 52, 54, 73, 72, 89, 88, 105, 104]"
17,105,6890,"[17, 33, 52, 54, 73, 72, 89, 88, 105]"
17,106,6552,"[17, 33, 52, 54, 73, 72, 89, 88, 106]"
17,108,7155,"[17, 33, 52, 54, 73, 72, 89, 88, 106, 108]"
17,109,6433,"[17, 33, 52, 54, 73, 72, 89, 91, 109]"
17,110,5962,"[17, 33, 52, 54, 74, 90, 92, 110]"
17,111,7099,"[17, 33, 52, 54, 73, 72, 89, 91, 109, 111]"
17,112,6671,"[17, 33, 52, 54, 74, 90, 92, 110, 112]"
17,116,2512,"[17, 18, 19, 116]"
17,117,2548,"[17, 18, 19, 117]"
17,118,3453,"[17, 18, 19, 117, 118]"
17,119,2937,"[17, 34, 35, 119]"
17,120,3613,"[17, 18, 19, 117, 120]"
17,121,3418,"[17, 34, 35, 121]"
17,122,4124,"[17, 34, 37, 125, 122]"
17,123,4392,"[17, 18, 19, 117, 120, 123]"
17,124,4674,"[17, 18, 19, 117, 120, 124]"
17,125,3038,"[17, 34, 37, 125]"
17,126,3904,"[17, 34, 37, 125, 126]"
17,127,3778,"[17, 34, 37, 56, 127]"
17,129,4847,"[17, 34, 37, 125, 126, 129]"
17,131,4104,"[17, 33, 55, 58, 131]"
17,135,5022,"[17, 34, 37, 125, 135]"
18,10,1352,"[18, 10]"
18,17,1098,"[18, 17]"
18,18,0,
18,19,668,"[18, 19]"
18,20,881,"[18, 20]"
18,21,1258,"[18, 21]"
18,29,2997,"[18, 17, 29]"
18,32,2537,"[18, 17, 32]"
18,33,2366,"[18, 17, 33]"
18,34,1425,"[18, 20, 34]"
18,35,1855,"[18, 21, 35]"
18,36,2051,"[18, 20, 34, 36]"
18,37,2446,"[18, 20, 34, 37]"
18,46,4851,"[18, 17, 29, 47, 46]"
18,47,3935,"[18, 17, 29, 47]"
18,48,3622,"[18, 17, 32, 48]"
18,49,4490,"[18, 17, 32, 48, 49]"
18,50,4122,"[18, 17, 32, 51, 50]"
18,51,3135,"[18, 17, 32, 51]"
18,52,2999,"[18, 17, 33, 52]"
18,53,3900,"[18, 17, 33, 52, 53]"
18,54,3499,"[18, 17, 33, 52, 54]"
18,55,2775,"[18, 20, 34, 36, 55]"
18,56,3270,"[18, 20, 34, 37, 56]"
18,57,3584,"[18, 20, 34, 36, 55, 57]"
18,58,3889,"[18, 20, 34, 36, 55, 58]"
18,66,5483,"[18, 17, 29, 47, 46, 66]"
