from,to,value
20,92,0.07790737
20,93,0
20,94,0.051938247
20,95,0.034625498
20,96,0.008656374
20,97,0
20,104,0
20,105,0
20,106,0.008656374
20,108,0
20,109,0.173127489
20,110,0.190937385
20,111,0.008656374
20,112,0
20,116,0
20,117,0
20,118,0.060594621
20,119,0
20,120,0.07790737
20,121,0
20,122,0
20,123,0.025969123
20,124,0.025969123
20,125,0
20,126,0
20,127,0
20,129,0
20,131,0
20,135,0.051938247
21,10,0
21,17,0.035239697
21,18,0
21,19,0
21,20,0
21,21,0
21,29,0
21,32,0.077373128
21,33,0.035239697
21,34,0.518458871
21,35,0.177053451
21,36,0
21,37,0
21,46,0
21,47,0
21,48,0
21,49,0.12333894
21,50,0.088099243
21,51,0.404590315
21,52,0.070479395
21,53,0.12333894
21,54,0
21,55,0.505509942
21,56,0.088099243
21,57,0.193818335
21,58,0.211438184
21,66,0.070479395
21,68,0.017619849
21,69,0.035239697
21,70,0.070479395
21,71,0
21,72,0
21,73,0.475735913
21,74,0.176198486
21,76,0
21,77,0.317157275
21,78,0.139383129
21,79,0
21,80,0.176198486
21,85,0
21,86,0.017619849
21,88,0
21,89,0.035239697
21,90,0
21,91,0.052859546
21,92,0.158578638
21,93,0
21,94,0.105719092
21,95,0.070479395
21,96,0.017619849
21,97,0
21,104,0
21,105,0
21,106,0.017619849
21,108,0
21,109,0.352396973
21,110,0.388648601
21,111,0.017619849
21,112,0
21,116,0
21,117,0
21,118,0.12333894
21,119,0
21,120,0.158578638
21,121,0
21,122,0
21,123,0.052859546
21,124,0.052859546
21,125,0
21,126,0
21,127,0
21,129,0
21,131,0
21,135,0.105719092
29,10,0
29,17,0.009021055
29,18,0
29,19,0
29,20,0
29,21,0.040594749
29,29,0
29,32,0.019806847
29,33,0.009021055
29,34,0.132720953
29,35,0.045324141
29,36,0
29,37,0
29,46,0
29,47,0
29,48,0
29,49,0.031573694
29,50,0.022552638
29,51,0.103571595
29,52,0.018042111
29,53,0.031573694
29,54,0
29,55,0.12940614
29,56,0.022552638
29,57,0.049615805
29,58,0.054126332
29,66,0.018042111
29,68,0.004510528
29,69,0.009021055
29,70,0.018042111
29,71,0
29,72,0
29,73,0.121784248
29,74,0.045105277
29,76,0
29,77,0.081189499
29,78,0.035680866
29,79,0
29,80,0.045105277
29,85,0
29,86,0.004510528
29,88,0
29,89,0.009021055
29,90,0
29,91,0.013531583
29,92,0.040594749
29,93,0
29,94,0.027063166
29,95,0.018042111
29,96,0.004510528
29,97,0
29,104,0
29,105,0
29,106,0.004510528
29,108,0
29,109,0.090210554
29,110,0.099490655
29,111,0.004510528
29,112,0
29,116,0
29,117,0
29,118,0.031573694
29,119,0
29,120,0.040594749
29,121,0
29,122,0
29,123,0.013531583
29,124,0.013531583
29,125,0
29,126,0
29,127,0
29,129,0
29,131,0
29,135,0.027063166
32,10,0
32,17,0.032245475
32,18,0
32,19,0
32,20,0
32,21,0.145104636
32,29,0
32,32,0
32,33,0.032245475
32,34,0.47440681
32,35,0.162009694
32,36,0
32,37,0
32,46,0
32,47,0
32,48,0
32,49,0.112859161
32,50,0.080613687
32,51,0.370213361
32,52,0.064490949
32,53,0.112859161
32,54,0
32,55,0.462558117
32,56,0.080613687
32,57,0.17735011
32,58,0.193472848
32,66,0.064490949
32,68,0.016122737
32,69,0.032245475
32,70,0.064490949
32,71,0
32,72,0
32,73,0.435313907
32,74,0.161227373
32,76,0
32,77,0.290209272
32,78,0.127540118
32,79,0
32,80,0.161227373
32,85,0
32,86,0.016122737
32,88,0
32,89,0.032245475
32,90,0
32,91,0.048368212
32,92,0.145104636
32,93,0
32,94,0.096736424
32,95,0.064490949
32,96,0.016122737
32,97,0
32,104,0
32,105,0
32,106,0.016122737
32,108,0
32,109,0.322454746
32,110,0.355626171
32,111,0.016122737
32,112,0
32,116,0
32,117,0
32,118,0.112859161
32,119,0
32,120,0.145104636
32,121,0
32,122,0
32,123,0.048368212
32,124,0.048368212
32,125,0
32,126,0
32,127,0
32,129,0
32,131,0
32,135,0.096736424
33,10,0
33,17,0.039500706
33,18,0
33,19,0
33,20,0
33,21,0.177753179
33,29,0
33,32,0.086728703
33,33,0
33,34,0.581148342
33,35,0.198461875
33,36,0
33,37,0
33,46,0
33,47,0
33,48,0
33,49,0.138252472
33,50,0.098751766
33,51,0.453511367
33,52,0.079001413
33,53,0.138252472
33,54,0
33,55,0.566633693
33,56,0.098751766
33,57,0.217253885
33,58,0.237004238
33,66,0.079001413
33,68,0.019750353
33,69,0.039500706
33,70,0.079001413
33,71,0
33,72,0
33,73,0.533259537
33,74,0.197503532
33,76,0
33,77,0.355506358
33,78,0.156236645
33,79,0
33,80,0.197503532
33,85,0
33,86,0.019750353
33,88,0
33,89,0.039500706
33,90,0
33,91,0.05925106
33,92,0.177753179
33,93,0
33,94,0.118502119
33,95,0.079001413
33,96,0.019750353
33,97,0
33,104,0
33,105,0
33,106,0.019750353
33,108,0
33,109,0.395007064
33,110,0.435642059
33,111,0.019750353
33,112,0
33,116,0
33,117,0
33,118,0.138252472
33,119,0
33,120,0.177753179
33,121,0
33,122,0
33,123,0.05925106
33,124,0.05925106
33,125,0
33,126,0
33,127,0
33,129,0
33,131,0
33,135,0.118502119
34,10,0
34,17,0.026487354
34,18,0
34,19,0
34,20,0
34,21,0.119193094
34,29,0
34,32,0.058156273
34,33,0.026487354
34,34,0
34,35,0.133079392
34,36,0
34,37,0
34,46,0
34,47,0
34,48,0
34,49,0.09270574
34,50,0.066218385
34,51,0.304103832
34,52,0.052974708
34,53,0.09270574
34,54,0
34,55,0.379958453
34,56,0.066218385
34,57,0.145680448
34,58,0.158924125
34,66,0.052974708
34,68,0.013243677
34,69,0.026487354
34,70,0.052974708
34,71,0
34,72,0
