source,target,weight,path
58,131,853,"[58, 131]"
66,46,632,"[66, 46]"
66,49,1137,"[66, 49]"
66,68,1443,"[66, 68]"
66,69,1999,"[66, 69]"
66,71,2136,"[66, 71]"
66,85,1685,"[66, 85]"
66,86,2243,"[66, 86]"
68,66,1443,"[68, 66]"
68,69,755,"[68, 69]"
68,71,763,"[68, 71]"
68,85,952,"[68, 85]"
68,86,842,"[68, 86]"
68,89,1429,"[68, 89]"
69,46,1661,"[69, 46]"
69,49,966,"[69, 49]"
69,50,1095,"[69, 50]"
69,66,1999,"[69, 66]"
69,68,755,"[69, 68]"
69,70,852,"[69, 70]"
69,71,592,"[69, 71]"
69,72,1043,"[69, 72]"
70,49,1142,"[70, 49]"
70,50,795,"[70, 50]"
70,53,1330,"[70, 53]"
70,69,852,"[70, 69]"
70,71,806,"[70, 71]"
70,72,816,"[70, 72]"
70,73,792,"[70, 73]"
70,93,1669,"[70, 93]"
70,94,2273,"[70, 94]"
71,66,2136,"[71, 66]"
71,68,763,"[71, 68]"
71,69,592,"[71, 69]"
71,70,806,"[71, 70]"
71,72,815,"[71, 72]"
71,86,1363,"[71, 86]"
71,89,666,"[71, 89]"
71,90,1176,"[71, 90]"
72,69,1043,"[72, 69]"
72,70,816,"[72, 70]"
72,71,815,"[72, 71]"
72,73,1033,"[72, 73]"
72,74,1756,"[72, 74]"
72,76,1645,"[72, 76]"
72,89,756,"[72, 89]"
72,90,677,"[72, 90]"
72,93,1172,"[72, 93]"
72,94,2157,"[72, 94]"
73,50,973,"[73, 50]"
73,53,876,"[73, 53]"
73,54,967,"[73, 54]"
73,70,792,"[73, 70]"
73,72,1033,"[73, 72]"
73,74,730,"[73, 74]"
73,76,810,"[73, 76]"
73,90,1436,"[73, 90]"
73,93,1330,"[73, 93]"
74,53,946,"[74, 53]"
74,54,494,"[74, 54]"
74,57,909,"[74, 57]"
74,72,1756,"[74, 72]"
74,73,730,"[74, 73]"
74,76,599,"[74, 76]"
74,77,980,"[74, 77]"
74,79,771,"[74, 79]"
74,90,1747,"[74, 90]"
74,93,1641,"[74, 93]"
76,72,1645,"[76, 72]"
76,73,810,"[76, 73]"
76,74,599,"[76, 74]"
76,77,973,"[76, 77]"
76,79,765,"[76, 79]"
76,90,1636,"[76, 90]"
76,93,1530,"[76, 93]"
76,94,986,"[76, 94]"
76,97,1779,"[76, 97]"
77,54,1344,"[77, 54]"
77,57,995,"[77, 57]"
77,58,1069,"[77, 58]"
77,74,980,"[77, 74]"
77,76,973,"[77, 76]"
77,78,976,"[77, 78]"
77,79,539,"[77, 79]"
77,80,937,"[77, 80]"
78,57,1198,"[78, 57]"
78,58,846,"[78, 58]"
78,77,976,"[78, 77]"
78,79,1147,"[78, 79]"
78,80,913,"[78, 80]"
78,127,932,"[78, 127]"
78,131,756,"[78, 131]"
79,74,771,"[79, 74]"
79,76,765,"[79, 76]"
79,77,539,"[79, 77]"
79,78,1147,"[79, 78]"
79,80,601,"[79, 80]"
79,94,1154,"[79, 94]"
79,97,1014,"[79, 97]"
80,77,937,"[80, 77]"
80,78,913,"[80, 78]"
80,79,601,"[80, 79]"
80,97,1125,"[80, 97]"
80,131,1223,"[80, 131]"
80,135,2727,"[80, 135]"
85,66,1685,"[85, 66]"
85,68,952,"[85, 68]"
85,86,945,"[85, 86]"
85,88,967,"[85, 88]"
85,104,2322,"[85, 104]"
85,105,1175,"[85, 105]"
85,106,1433,"[85, 106]"
86,66,2243,"[86, 66]"
86,68,842,"[86, 68]"
86,71,1363,"[86, 71]"
86,85,945,"[86, 85]"
86,88,562,"[86, 88]"
86,89,795,"[86, 89]"
86,91,962,"[86, 91]"
88,85,967,"[88, 85]"
88,86,562,"[88, 86]"
88,89,831,"[88, 89]"
88,91,927,"[88, 91]"
88,105,902,"[88, 105]"
88,106,564,"[88, 106]"
88,109,1087,"[88, 109]"
89,68,1429,"[89, 68]"
89,71,666,"[89, 71]"
89,72,756,"[89, 72]"
89,86,795,"[89, 86]"
89,88,831,"[89, 88]"
89,90,1021,"[89, 90]"
89,91,631,"[89, 91]"
89,92,951,"[89, 92]"
90,71,1176,"[90, 71]"
90,72,677,"[90, 72]"
90,73,1436,"[90, 73]"
90,74,1747,"[90, 74]"
90,76,1636,"[90, 76]"
90,89,1021,"[90, 89]"
90,91,1455,"[90, 91]"
90,92,750,"[90, 92]"
90,93,858,"[90, 93]"
90,95,3905,"[90, 95]"
91,86,962,"[91, 86]"
91,88,927,"[91, 88]"
91,89,631,"[91, 89]"
91,90,1455,"[91, 90]"
91,92,807,"[91, 92]"
91,106,953,"[91, 106]"
91,109,645,"[91, 109]"
91,110,1175,"[91, 110]"
92,89,951,"[92, 89]"
92,90,750,"[92, 90]"
92,91,807,"[92, 91]"
92,93,984,"[92, 93]"
92,95,3683,"[92, 95]"
92,109,1186,"[92, 109]"
92,110,570,"[92, 110]"
93,70,1669,"[93, 70]"
93,72,1172,"[93, 72]"
93,73,1330,"[93, 73]"
93,74,1641,"[93, 74]"
93,76,1530,"[93, 76]"
93,90,858,"[93, 90]"
93,92,984,"[93, 92]"
93,94,1264,"[93, 94]"
93,95,3278,"[93, 95]"
93,96,1030,"[93, 96]"
94,70,2273,"[94, 70]"
94,72,2157,"[94, 72]"
94,76,986,"[94, 76]"
94,79,1154,"[94, 79]"
94,93,1264,"[94, 93]"
94,96,497,"[94, 96]"
94,97,1504,"[94, 97]"
95,90,3905,"[95, 90]"
95,92,3683,"[95, 92]"
95,93,3278,"[95, 93]"
95,96,2376,"[95, 96]"
95,110,3526,"[95, 110]"
96,93,1030,"[96, 93]"
96,94,497,"[96, 94]"
96,95,2376,"[96, 95]"
96,97,1379,"[96, 97]"
96,135,4580,"[96, 135]"
97,76,1779,"[97, 76]"
97,79,1014,"[97, 79]"
97,80,1125,"[97, 80]"
97,94,1504,"[97, 94]"
97,96,1379,"[97, 96]"
104,85,2322,"[104, 85]"
104,105,1206,"[104, 105]"
105,85,1175,"[105, 85]"
105,88,902,"[105, 88]"
105,104,1206,"[105, 104]"
105,106,727,"[105, 106]"
105,108,862,"[105, 108]"
106,85,1433,"[106, 85]"
106,88,564,"[106, 88]"
106,91,953,"[106, 91]"
106,105,727,"[106, 105]"
106,108,603,"[106, 108]"
106,109,793,"[106, 109]"
106,111,921,"[106, 111]"
108,105,862,"[108, 105]"
108,106,603,"[108, 106]"
108,109,896,"[108, 109]"
