source,target,weight
71,69,592
71,70,806
71,72,815
71,86,1363
71,89,666
71,90,1176
72,69,1043
72,70,816
72,71,815
72,73,1033
72,75,834
72,89,756
72,90,677
72,93,1172
73,50,973
73,53,876
73,54,967
73,70,792
73,72,1033
73,74,730
73,75,611
73,76,810
74,53,946
74,54,494
74,57,909
74,73,730
74,75,922
74,76,599
74,77,980
74,79,771
75,70,950
75,72,834
75,73,611
75,74,922
75,76,811
75,90,825
75,93,719
75,94,1323
76,73,810
76,74,599
76,75,811
76,77,973
76,79,765
76,93,1530
76,94,986
76,97,1779
77,54,1344
77,57,995
77,58,1069
77,74,980
77,76,973
77,78,976
77,79,539
77,80,937
78,57,1198
78,58,846
78,77,976
78,79,1147
78,80,913
78,127,932
78,131,756
78,133,1060
79,74,771
79,76,765
79,77,539
79,78,1147
79,80,601
79,94,1154
79,97,1014
79,98,880
80,77,937
80,78,913
80,79,601
80,97,1125
80,98,582
80,131,1223
80,133,938
81,60,743
81,63,623
81,64,3449
81,82,700
81,83,625
81,84,815
82,63,910
82,64,2754
82,67,2676
82,81,700
82,83,961
82,84,849
82,85,2132
82,87,1547
83,81,625
83,82,961
83,84,597
83,100,1238
83,101,624
83,102,1018
84,81,815
84,82,849
84,83,597
84,85,2078
84,87,1492
84,101,736
84,102,421
84,105,1320
85,64,850
85,67,623
85,68,952
85,82,2132
85,84,2078
85,86,945
85,87,586
85,88,967
86,67,1181
86,68,842
86,71,1363
86,85,945
86,87,957
86,88,562
86,89,795
86,91,962
87,82,1547
87,84,1492
87,85,586
87,86,957
87,88,566
87,102,1208
87,105,589
87,106,847
88,85,967
88,86,562
88,87,566
88,89,831
88,91,927
88,105,902
88,106,564
88,109,1087
89,68,1429
89,71,666
89,72,756
89,86,795
89,88,831
89,90,1021
89,91,631
89,92,951
90,71,1176
90,72,677
90,75,825
90,89,1021
90,91,1455
90,92,750
90,93,858
90,95,3905
91,86,962
91,88,927
91,89,631
91,90,1455
91,92,807
91,106,953
91,109,645
91,110,1175
92,89,951
92,90,750
92,91,807
92,93,984
92,95,3683
92,109,1186
92,110,570
93,72,1172
93,75,719
93,76,1530
93,90,858
93,92,984
93,94,1264
93,95,3278
93,96,1030
94,75,1323
94,76,986
94,79,1154
94,93,1264
94,95,2874
94,96,497
94,97,1504
94,99,1075
95,90,3905
95,92,3683
95,93,3278
95,94,2874
95,96,2376
95,110,3526
96,93,1030
96,94,497
96,95,2376
96,97,1379
96,99,950
97,76,1779
97,79,1014
97,80,1125
97,94,1504
97,96,1379
97,98,1081
97,99,559
98,79,880
98,80,582
98,97,1081
98,99,762
98,133,1079
99,94,1075
99,96,950
99,97,559
99,98,762
100,83,1238
100,101,614
100,103,956
101,83,624
101,84,736
101,100,614
101,102,797
101,103,1058
101,104,1020
102,83,1018
102,84,421
102,87,1208
102,101,797
102,103,1046
102,104,528
102,105,1036
102,107,839
103,100,956
103,101,1058
103,102,1046
103,104,547
103,113,539
103,114,1212
104,101,1020
104,102,528
104,103,547
104,105,1206
104,107,671
104,113,1010
104,114,1683
104,115,1400
105,84,1320
105,87,589
105,88,902
105,102,1036
105,104,1206
105,106,727
105,107,1295
105,108,862
106,87,847
106,88,564
106,91,953
106,105,727
106,107,1754
106,108,603
106,109,793
106,111,921
107,102,839
107,104,671
107,105,1295
107,106,1754
107,108,2065
107,114,1371
107,115,729
108,105,862
108,106,603
108,107,2065
108,109,896
108,111,705
108,115,2795
109,88,1087
109,91,645
109,92,1186
109,106,793
109,108,896
109,110,1151
109,111,666
109,112,1083
110,91,1175
110,92,570
110,95,3526
110,109,1151
110,111,1418
110,112,709
111,106,921
111,108,705
111,109,666
111,110,1418
111,112,1169
112,109,1083
112,110,709
112,111,1169
113,103,539
113,104,1010
113,114,673
114,103,1212
114,104,1683
114,107,1371
114,113,673
114,115,642
115,104,1400
115,107,729
115,108,2795
115,114,642
116,10,883
116,19,746
116,21,849
116,117,555
116,118,986
117,19,782
117,21,618
117,35,978
117,116,555
117,118,905
117,119,1042
117,120,1065
118,116,986
118,117,905
118,119,932
118,120,723
118,123,1137
119,21,1397
119,35,1183
119,37,1206
119,117,1042
119,118,932
119,120,785
119,121,1214
119,122,1550
120,117,1065
120,118,723
120,119,785
120,121,1159
120,122,896
120,123,779
120,124,1061
121,35,1664
121,37,1545
121,56,1165
121,119,1214
121,120,1159
121,122,921
121,125,425
121,126,701
122,119,1550
122,120,896
122,121,921
122,123,1012
122,124,904
122,125,1086
122,126,551
122,129,951
123,118,1137
123,120,779
123,122,1012
123,124,602
124,120,1061
124,122,904
124,123,602
124,126,1272
124,129,743
125,37,1120
125,56,741
125,58,1091
125,121,425
125,122,1086
125,126,866
125,127,791
125,128,1261
126,121,701
126,122,551
126,124,1272
126,125,866
126,127,903
126,128,788
126,129,943
126,130,1047
127,56,1036
127,58,821
127,78,932
127,125,791
127,126,903
127,128,1229
127,131,586
127,132,966
128,125,1261
128,126,788
128,127,1229
128,129,1325
128,130,731
128,131,1371
128,132,871
128,135,723
129,122,951
129,124,743
129,126,943
129,128,1325
129,130,731
130,126,1047
130,128,731
130,129,731
130,132,1132
130,135,984
131,58,853
131,78,756
131,80,1223
131,127,586
131,128,1371
131,132,728
131,133,724
131,134,1192
132,127,966
132,128,871
132,130,1132
132,131,728
132,133,1109
132,134,746
132,135,780
133,78,1060
133,80,938
133,98,1079
133,131,724
133,132,1109
133,134,909
134,131,1192
134,132,746
134,133,909
134,135,880
135,128,723
135,130,984
135,132,780
135,134,880
